cohort,pipeline,seed,model,task_idx,subject_acc
ftd,ANOVA,46,KNN,1,0.9807692307692307
ftd,ANOVA,46,KNN,2,0.9230769230769231
ftd,ANOVA,46,MLP_(Neural_Network),0,0.8269230769230769
ftd,ANOVA,46,MLP_(Neural_Network),1,0.8461538461538461
ftd,ANOVA,46,MLP_(Neural_Network),2,0.9423076923076923
ftd,ANOVA,46,SVM,0,0.5769230769230769
ftd,ANOVA,46,SVM,1,0.8653846153846154
ftd,ANOVA,46,SVM,2,0.5576923076923077
ftd,ANOVA,46,XGBoost,0,1.0
ftd,ANOVA,46,XGBoost,1,1.0
ftd,ANOVA,46,XGBoost,2,1.0
ftd,ANOVA,47,KNN,0,0.9230769230769231
ftd,ANOVA,47,KNN,1,0.9423076923076923
ftd,ANOVA,47,KNN,2,1.0
ftd,ANOVA,47,MLP_(Neural_Network),0,0.9807692307692307
ftd,ANOVA,47,MLP_(Neural_Network),1,0.8846153846153846
ftd,ANOVA,47,MLP_(Neural_Network),2,0.9230769230769231
ftd,ANOVA,47,SVM,0,0.5769230769230769
ftd,ANOVA,47,SVM,1,0.5576923076923077
ftd,ANOVA,47,SVM,2,0.8461538461538461
ftd,ANOVA,47,XGBoost,0,0.9807692307692307
ftd,ANOVA,47,XGBoost,1,1.0
ftd,ANOVA,47,XGBoost,2,1.0
ftd,ANOVA,48,KNN,0,1.0
ftd,ANOVA,48,KNN,1,0.9423076923076923
ftd,ANOVA,48,KNN,2,0.9423076923076923
ftd,ANOVA,48,MLP_(Neural_Network),0,0.9423076923076923
ftd,ANOVA,48,MLP_(Neural_Network),1,0.9423076923076923
ftd,ANOVA,48,MLP_(Neural_Network),2,0.8076923076923077
ftd,ANOVA,48,SVM,0,0.5576923076923077
ftd,ANOVA,48,SVM,1,0.5769230769230769
ftd,ANOVA,48,SVM,2,0.8269230769230769
ftd,ANOVA,48,XGBoost,0,1.0
ftd,ANOVA,48,XGBoost,1,0.9807692307692307
ftd,ANOVA,48,XGBoost,2,1.0
ftd,ANOVA,49,KNN,0,0.9423076923076923
ftd,ANOVA,49,KNN,1,0.9423076923076923
ftd,ANOVA,49,KNN,2,0.9615384615384616
ftd,ANOVA,49,MLP_(Neural_Network),0,0.7692307692307693
ftd,ANOVA,49,MLP_(Neural_Network),1,0.9807692307692307
