cohort,pipeline,seed,model,accuracy
mdd_ec,ANOVA,45,SVM,0.8663656884875847
mdd_ec,ANOVA,45,MLP,0.9480812641083521
mdd_ec,ANOVA,46,KNN,0.90744920993228
mdd_ec,ANOVA,46,XGBoost,0.944469525959368
mdd_ec,ANOVA,46,SVM,0.8595936794582393
mdd_ec,ANOVA,46,MLP,0.944920993227991
mdd_ec,ANOVA,47,KNN,0.8957110609480813
mdd_ec,ANOVA,47,XGBoost,0.946726862302483
mdd_ec,ANOVA,47,SVM,0.854176072234763
mdd_ec,ANOVA,47,MLP,0.9431151241534989
mdd_ec,ANOVA,48,KNN,0.8920993227990971
mdd_ec,ANOVA,48,XGBoost,0.9422121896162529
mdd_ec,ANOVA,48,SVM,0.8591422121896163
mdd_ec,ANOVA,48,MLP,0.9381489841986456
mdd_ec,ANOVA,49,KNN,0.9002257336343115
mdd_ec,ANOVA,49,XGBoost,0.9566591422121896
mdd_ec,ANOVA,49,SVM,0.8618510158013544
mdd_ec,ANOVA,49,MLP,0.9408577878103838
mdd_ec,ANOVA,50,KNN,0.8961625282167043
mdd_ec,ANOVA,50,XGBoost,0.9512415349887133
mdd_ec,ANOVA,50,SVM,0.8591422121896163
mdd_ec,ANOVA,50,MLP,0.9494356659142212
mdd_ec,ANOVA,51,KNN,0.8898419864559819
mdd_ec,ANOVA,51,XGBoost,0.944920993227991
mdd_ec,ANOVA,51,SVM,0.8623024830699775
mdd_ec,ANOVA,51,MLP,0.944469525959368
mdd_ec,PCA,42,KNN,0.8979683972911964
mdd_ec,PCA,42,XGBoost,0.9431151241534989
mdd_ec,PCA,42,SVM,0.9033860045146727
mdd_ec,PCA,42,MLP,0.946726862302483
mdd_ec,PCA,43,KNN,0.9051918735891648
mdd_ec,PCA,43,XGBoost,0.9390519187358917
mdd_ec,PCA,43,SVM,0.9110609480812641
mdd_ec,PCA,43,MLP,0.9417607223476298
mdd_ec,PCA,44,KNN,0.90744920993228
mdd_ec,PCA,44,XGBoost,0.9372460496613996
mdd_ec,PCA,44,SVM,0.909255079006772
mdd_ec,PCA,44,MLP,0.9485327313769751
mdd_ec,PCA,45,KNN,0.8970654627539504
mdd_ec,PCA,45,XGBoost,0.9386004514672687
mdd_ec,PCA,45,SVM,0.9155756207674943
mdd_ec,PCA,45,MLP,0.944018058690745
mdd_ec,PCA,46,KNN,0.8984198645598194
mdd_ec,PCA,46,XGBoost,0.9349887133182844
mdd_ec,PCA,46,SVM,0.9133182844243792
mdd_ec,PCA,46,MLP,0.9422121896162529
mdd_ec,PCA,47,KNN,0.9015801354401806
mdd_ec,PCA,47,XGBoost,0.9358916478555305
mdd_ec,PCA,47,SVM,0.8997742663656885
mdd_ec,PCA,47,MLP,0.9395033860045147
mdd_ec,PCA,48,KNN,0.8943566591422122
mdd_ec,PCA,48,XGBoost,0.9349887133182844
mdd_ec,PCA,48,SVM,0.9069977426636568
mdd_ec,PCA,48,MLP,0.9309255079006772
mdd_ec,PCA,49,KNN,0.9020316027088036
mdd_ec,PCA,49,XGBoost,0.9345372460496614
mdd_ec,PCA,49,SVM,0.9110609480812641
mdd_ec,PCA,49,MLP,0.9453724604966139
mdd_ec,PCA,50,KNN,0.9015801354401806
mdd_ec,PCA,50,XGBoost,0.9386004514672687
mdd_ec,PCA,50,SVM,0.9069977426636568
mdd_ec,PCA,50,MLP,0.9485327313769751
mdd_ec,PCA,51,KNN,0.9038374717832958
mdd_ec,PCA,51,XGBoost,0.9349887133182844
mdd_ec,PCA,51,SVM,0.9042889390519188
mdd_ec,PCA,51,MLP,0.9417607223476298
mdd_eo,ANOVA,42,KNN,0.8866466294547016
mdd_eo,ANOVA,42,XGBoost,0.9450407900386432
mdd_eo,ANOVA,42,SVM,0.8501502790897381
mdd_eo,ANOVA,42,MLP,0.9343065693430657
mdd_eo,ANOVA,43,KNN,0.8866466294547016
mdd_eo,ANOVA,43,XGBoost,0.9514813224559897
mdd_eo,ANOVA,43,SVM,0.8501502790897381
mdd_eo,ANOVA,43,MLP,0.944182052382997
mdd_eo,ANOVA,44,KNN,0.8939458995276943
mdd_eo,ANOVA,44,XGBoost,0.9519106912838128
mdd_eo,ANOVA,44,SVM,0.8544439673679691
mdd_eo,ANOVA,44,MLP,0.948475740661228
mdd_eo,ANOVA,45,KNN,0.896951481322456
mdd_eo,ANOVA,45,XGBoost,0.9514813224559897
mdd_eo,ANOVA,45,SVM,0.8656075568913697
mdd_eo,ANOVA,45,MLP,0.9476170030055818
mdd_eo,ANOVA,46,KNN,0.8875053671103478
mdd_eo,ANOVA,46,XGBoost,0.9458995276942894
