experiment,feature_set,P,condition,fold_id,model,hyperparams,task_id,subject_acc,n_subjects_fold,epoch_acc,n_epochs_fold,subject_minus_epoch
ANOVA_L_6_EC,ANOVA,6,EC,sub-7_sub-15_sub-20_sub-49_sub-52_sub-60,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""6"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_36_2391,1.0,6,0.9291530944625407,1228,0.07084690553745931
ANOVA_L_6_EC,ANOVA,6,EC,sub-2_sub-3_sub-24_sub-37_sub-51_sub-55,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""6"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_9_2391,0.6666666666666666,6,0.5929352396972245,1189,0.07373142696944213
ANOVA_L_6_EC,ANOVA,6,EC,sub-2_sub-3_sub-24_sub-37_sub-51_sub-55,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""9"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_9_6222,0.5,6,0.5904121110176619,1189,-0.09041211101766189
ANOVA_L_6_EC,ANOVA,6,EC,sub-2_sub-3_sub-24_sub-37_sub-51_sub-55,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""3"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_9_0408,0.5,6,0.5929352396972245,1189,-0.0929352396972245
ANOVA_L_6_EC,ANOVA,6,EC,sub-5_sub-6_sub-23_sub-31_sub-34_sub-60,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""3"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_26_0408,1.0,6,0.8508474576271187,1180,0.14915254237288134
ANOVA_L_6_EC,ANOVA,6,EC,sub-5_sub-6_sub-23_sub-31_sub-34_sub-60,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""9"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_26_6222,1.0,6,0.8296610169491525,1180,0.1703389830508475
ANOVA_L_6_EC,ANOVA,6,EC,sub-5_sub-6_sub-23_sub-31_sub-34_sub-60,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""6"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_26_2391,1.0,6,0.8466101694915255,1180,0.15338983050847455
ANOVA_L_6_EC,ANOVA,6,EC,sub-2_sub-15_sub-21_sub-32_sub-50_sub-61,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""6"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_8_2391,1.0,6,0.972875226039783,1106,0.027124773960216952
ANOVA_L_6_EC,ANOVA,6,EC,sub-2_sub-15_sub-21_sub-32_sub-50_sub-61,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""3"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_8_0408,1.0,6,0.953887884267631,1106,0.04611211573236895
ANOVA_L_6_EC,ANOVA,6,EC,sub-2_sub-15_sub-21_sub-32_sub-50_sub-61,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""9"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_8_6222,1.0,6,0.969258589511754,1106,0.030741410488245968
ANOVA_L_6_EC,ANOVA,6,EC,sub-2_sub-3_sub-8_sub-32_sub-53_sub-55,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""3"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_10_0408,0.8333333333333334,6,0.69009009009009,1110,0.14324324324324333
ANOVA_L_6_EC,ANOVA,6,EC,sub-2_sub-3_sub-8_sub-32_sub-53_sub-55,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""9"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_10_6222,0.8333333333333334,6,0.7117117117117117,1110,0.12162162162162171
ANOVA_L_6_EC,ANOVA,6,EC,sub-2_sub-3_sub-8_sub-32_sub-53_sub-55,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""6"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_10_2391,0.8333333333333334,6,0.7126126126126127,1110,0.12072072072072071
ANOVA_L_6_EC,ANOVA,6,EC,sub-9_sub-21_sub-28_sub-38_sub-46_sub-47,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""3"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_47_0408,1.0,6,0.924496644295302,1192,0.07550335570469802
ANOVA_L_6_EC,ANOVA,6,EC,sub-9_sub-21_sub-28_sub-38_sub-46_sub-47,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""9"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_47_6222,1.0,6,0.9454697986577181,1192,0.054530201342281925
ANOVA_L_6_EC,ANOVA,6,EC,sub-9_sub-21_sub-28_sub-38_sub-46_sub-47,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""6"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_47_2391,1.0,6,0.9421140939597316,1192,0.05788590604026844
ANOVA_L_6_EC,ANOVA,6,EC,sub-6_sub-25_sub-28_sub-30_sub-57_sub-60,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""6"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_32_2391,0.8333333333333334,6,0.8134263295553618,1147,0.01990700377797161
ANOVA_L_6_EC,ANOVA,6,EC,sub-6_sub-25_sub-28_sub-30_sub-57_sub-60,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""3"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_32_0408,0.8333333333333334,6,0.8230165649520488,1147,0.010316768381284591
ANOVA_L_6_EC,ANOVA,6,EC,sub-6_sub-25_sub-28_sub-30_sub-57_sub-60,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""9"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_32_6222,0.8333333333333334,6,0.8003487358326068,1147,0.032984597500726576
ANOVA_L_6_EC,ANOVA,6,EC,sub-3_sub-4_sub-8_sub-38_sub-41_sub-57,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""6"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_18_2391,1.0,6,0.892527287993283,1191,0.10747271200671704
ANOVA_L_6_EC,ANOVA,6,EC,sub-3_sub-4_sub-8_sub-38_sub-41_sub-57,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""3"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_18_0408,1.0,6,0.8933669185558354,1191,0.10663308144416461
ANOVA_L_6_EC,ANOVA,6,EC,sub-3_sub-4_sub-8_sub-38_sub-41_sub-57,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""9"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_18_6222,1.0,6,0.8849706129303107,1191,0.11502938706968935
ANOVA_L_6_EC,ANOVA,6,EC,sub-13_sub-16_sub-19_sub-45_sub-53_sub-54,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""9"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_1_6222,0.8333333333333334,6,0.7342419080068143,1174,0.09909142532651904
ANOVA_L_6_EC,ANOVA,6,EC,sub-13_sub-16_sub-19_sub-45_sub-53_sub-54,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""3"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_1_0408,0.8333333333333334,6,0.7248722316865417,1174,0.10846110164679168
ANOVA_L_6_EC,ANOVA,6,EC,sub-13_sub-16_sub-19_sub-45_sub-53_sub-54,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""6"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_1_2391,0.8333333333333334,6,0.731686541737649,1174,0.10164679159568435
ANOVA_L_6_EC,ANOVA,6,EC,sub-3_sub-21_sub-26_sub-31_sub-38_sub-61,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""3"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_16_0408,1.0,6,0.8738357324301439,1181,0.1261642675698561
ANOVA_L_6_EC,ANOVA,6,EC,sub-3_sub-21_sub-26_sub-31_sub-38_sub-61,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""9"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_16_6222,1.0,6,0.8839966130397968,1181,0.11600338696020318
ANOVA_L_6_EC,ANOVA,6,EC,sub-3_sub-21_sub-26_sub-31_sub-38_sub-61,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""6"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_16_2391,1.0,6,0.8882303132938189,1181,0.11176968670618115
ANOVA_L_6_EC,ANOVA,6,EC,sub-3_sub-11_sub-19_sub-31_sub-60_sub-61,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""6"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_13_2391,1.0,6,0.8119148936170213,1175,0.1880851063829787
ANOVA_L_6_EC,ANOVA,6,EC,sub-3_sub-11_sub-19_sub-31_sub-60_sub-61,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""9"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_13_6222,1.0,6,0.8306382978723404,1175,0.16936170212765955
ANOVA_L_6_EC,ANOVA,6,EC,sub-3_sub-11_sub-19_sub-31_sub-60_sub-61,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""3"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",task_XGBoost_13_0408,1.0,6,0.8161702127659575,1175,0.18382978723404253
