experiment,feature_set,holdout_size_P,condition,model,fold_id,task_id,hyperparams,test_accuracy,train_accuracy
PCA_L_6_EC,PCA,6,EC,KNN,sub-13_sub-16_sub-19_sub-45_sub-53_sub-54,task_KNN_1_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.5,0.9338025295797634
PCA_L_6_EC,PCA,6,EC,KNN,sub-13_sub-16_sub-19_sub-45_sub-53_sub-54,task_KNN_1_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.5,0.9202366381068952
PCA_L_6_EC,PCA,6,EC,KNN,sub-3_sub-21_sub-26_sub-31_sub-38_sub-61,task_KNN_16_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.4961896697713802,0.931305501684189
PCA_L_6_EC,PCA,6,EC,KNN,sub-3_sub-21_sub-26_sub-31_sub-38_sub-61,task_KNN_16_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.4928027095681626,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-3_sub-21_sub-26_sub-31_sub-38_sub-61,task_KNN_16_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.4953429297205758,0.9177299173216291
PCA_L_6_EC,PCA,6,EC,KNN,sub-3_sub-11_sub-19_sub-31_sub-60_sub-61,task_KNN_13_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.49531914893617024,0.9208405590125471
PCA_L_6_EC,PCA,6,EC,KNN,sub-3_sub-11_sub-19_sub-31_sub-60_sub-61,task_KNN_13_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.5174468085106383,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-3_sub-11_sub-19_sub-31_sub-60_sub-61,task_KNN_13_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.49531914893617024,0.9335917576252167
PCA_L_6_EC,PCA,6,EC,KNN,sub-4_sub-24_sub-26_sub-30_sub-54_sub-60,task_KNN_22_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.48118985126859143,0.9150991357397051
PCA_L_6_EC,PCA,6,EC,KNN,sub-4_sub-24_sub-26_sub-30_sub-54_sub-60,task_KNN_22_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.48118985126859143,0.928622267412303
PCA_L_6_EC,PCA,6,EC,KNN,sub-4_sub-24_sub-26_sub-30_sub-54_sub-60,task_KNN_22_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.48293963254593175,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-13_sub-14_sub-21_sub-46_sub-51_sub-56,task_KNN_0_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.49531914893617024,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-13_sub-14_sub-21_sub-46_sub-51_sub-56,task_KNN_0_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.4919148936170213,0.9311435274915842
