feature_idx,label,channel,band,f_stat,p_value,cohen_d,abs_d,mean_disease,mean_control,n_disease,n_control,rank
70,Cz_Alpha,Cz,Alpha,60.28722896859499,8.62266740265411e-15,0.11434805921590463,0.11434805921590463,0.336753409171533,0.31263868321226407,9921,8614,37
12,F4_Delta,F4,Delta,60.05583022012161,9.69467601565335e-15,0.11412839878985936,0.11412839878985936,0.3590142362295958,0.33498897309953996,9921,8614,38
73,Pz_Theta,Pz,Theta,49.813694934926204,1.7503675802274458e-12,-0.10394186740506275,0.10394186740506275,0.16190139930539105,0.17240145768523277,9921,8614,39
19,C3_Beta,C3,Beta,45.52007195299912,1.5554691925723606e-11,-0.09936137815369395,0.09936137815369395,0.0552163021628774,0.0607642391636772,9921,8614,40
27,P3_Beta,P3,Beta,45.32497177337747,1.7179739023643113e-11,0.09914821681487086,0.09914821681487086,0.04783602783516248,0.044028667508197714,9921,8614,41
21,C4_Theta,C4,Theta,41.948290945624194,9.607449960657182e-11,-0.09538350396107198,0.09538350396107198,0.13150423535478975,0.1395084200339931,9921,8614,42
41,F7_Theta,F7,Theta,40.03053702323073,2.5575183972829945e-10,-0.09317766968779234,0.09317766968779234,0.1610150702343459,0.1697853221792745,9921,8614,43
64,Fz_Delta,Fz,Delta,37.62571741713023,8.744487601226294e-10,-0.09033551636923315,0.09033551636923315,0.44832166916422456,0.468329034764356,9921,8614,44
15,F4_Beta,F4,Beta,36.42596334934247,1.615935517037871e-09,0.0888836048161783,0.0888836048161783,0.06798197045046978,0.06274395343549959,9921,8614,45
34,O1_Alpha,O1,Alpha,36.35468715949495,1.6760035085562095e-09,-0.08879660112056373,0.08879660112056373,0.3864401552575782,0.40661208551326106,9921,8614,46
90,T5_all_bands,T5,all_bands,35.83481699567876,2.18731927770005e-09,-0.08815942158629621,0.08815942158629621,-2.9761015678838162e-06,1.418216763186542e-09,9921,8614,47
51,T3_Beta,T3,Beta,28.136503484676478,1.1435134716129951e-07,-0.07811801515062859,0.07811801515062859,0.0580246554327984,0.06195987314654505,9921,8614,48
52,T4_Delta,T4,Delta,28.035299618222286,1.204807545237066e-07,-0.07797739769433408,0.07797739769433408,0.4784111313650887,0.49592819198398097,9921,8614,49
26,P3_Alpha,P3,Alpha,27.579077790109313,1.5246654354443365e-07,0.07734032746215651,0.07734032746215651,0.2572598059241665,0.24191562154691068,9921,8614,50
16,C3_Delta,C3,Delta,26.99036338114092,2.0663773128706476e-07,0.07651040528541493,0.07651040528541493,0.3086511808424204,0.2922071921556425,9921,8614,51
39,O2_Beta,O2,Beta,24.518169712339724,7.425952654477895e-07,-0.07292226676297738,0.07292226676297738,0.05605388355164743,0.05985220224816772,9921,8614,52
